,Product Name,Price,Description,Ratings
185,"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Grey, White","₹12,490",1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG,4.3
186,"Whirlpool 7.5 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹11,490",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.3
187,"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Black, Grey","₹12,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.284688386115277
188,"SAMSUNG 7.5 kg Semi Automatic Top Load Blue, Grey","₹11,990","1300 rpm Max Speed5 Star Rating2 Years warranty on product, 5 Years warranty on motor",4.284688386115277
189,"MarQ by Flipkart 9 kg 5 Star Semi Automatic Top Load White, Grey","₹10,190",1400 rpm Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor from MarQ by Flipkart,4.284688386115276
190,Whirlpool 6 kg with Hard Water Wash Fully Automatic Top Load Grey,"₹13,990",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Motor from Whirlpool,4.284688386115276
191,"Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","₹16,990",740 rpm Max Speed5 Star Rating2 Years on Product and 5 Years on Motor,4.284688386115276
192,"realme TechLife 8 kg 5 Star Rating Semi Automatic Top Load White, Black","₹10,290",1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor,4.2
193,"Voltas Beko 8 kg Semi Automatic Top Load Blue, White","₹10,290","1300 rpm Max Speed2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",4.3
194,"ONIDA 7 kg 5 Star With Hexa Crystal Drum Technology Fully Automatic Top Load Black, Grey","₹12,790",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor from Onida,4.5
195,Equator 8 kg Fully Automatic Top Load Beige,"₹19,990",800 RPM Max Speed2 Star Rating2 Years Warranty on Parts and Labour from Equator,4.2
196,Godrej 6.5 kg with i-wash Technology Washing Machine Fully Automatic Top Load Grey,"₹12,990",700 rpm Max Speed2 Years Comprehensive Warranty on Product  and 10 Years Warranty on Wash Motor,4.3
197,Panasonic 6.5 kg Fully Automatic Top Load Silver,"₹14,490",1380 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and  8 Years Additional on Motor,4.2
198,Haier 8 Kg 5 Star Anti-Bacterial Vortex Pulsator Semi Automatic Top Load Multicolor,"₹11,990","1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash & Spin Motor from Haier",4.4
199,Voltas Beko 8 kg Fully Automatic Front Load with In-built Heater White,"₹30,659","1200 rpm Max Speed5 Star Rating3 Years Comprehensive Warranty on Product, 12 Years Warranty on Motor",4.3
200,"Lloyd 7.5 kg Semi Automatic Top Load Black, Grey","₹12,290",1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,4.2
201,"Whirlpool 8.5 kg 5 Star, Power Dry Technology Semi Automatic Top Load Purple","₹13,900","1450 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor, Spin motor and Prime Mover from Whirlpool",4.1
202,"Haier 6.5 kg Semi Automatic Top Load White, Maroon","₹9,290","1300 rpm Max Speed2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash Motor & Spin Motor from Haier",4.3
203,Equator 10.2 kg Fully Automatic Top Load Beige,"₹22,990",800 RPM Max Speed4 Star Rating2 Years Warranty on Parts and Labour from Equator,4.3
204,"Thomson 10 kg Semi Automatic Top Load Black, White","₹11,990",1400 rpm Max Speed2 Years Warranty on Product and 5 Years on Motor from Thomson,4.4
205,"Voltas Beko 8.5 kg Semi Automatic Top Load Maroon, White","₹10,990","1300 rpm Max Speed2 Years Comprehensive Warranty on Product, 5 Years Warranty on Motor",4.2
206,Whirlpool 6.5 kg with Hard Water Wash Fully Automatic Top Load Grey,"₹14,490",740 rpm Max Speed5 Star Rating2�Years Comprehensive Warranty and 5 Years on Motor from Whirlpool,3.9
207,"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Black, Grey","₹8,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.3
208,Godrej 6.2 kg with i-wash Technology Washing Machine Fully Automatic Top Load Grey,"₹12,990",700 rpm Max Speed2 Years Comprehensive Warranty and 10 Years warranty on Motor from Godrej,4.2
209,"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Black, Grey","₹12,990",1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years Warranty on Wash Motor,4.2
